response_id,data_source,cohort,student_id,student_track,student_prior_stats,run_id,mode,preset,preset_label,item_position,response_date,response_datetime,week_of_term,day_of_week,hour_of_day,time_block,item_number,item_id,topic,tier_code,tier_label,session_primary,session_name,session_all,theme_code,theme_label,exam_block,lab_block,extra_topic,has_source_line,news_outlet,news_date,news_sourced,news_url,n_options,correct_position,correct_option_text,stem_chars,key_chars,mean_distractor_chars,key_length_advantage,numeric_item,exposure_number,device,chosen_position,chosen_option_text,correct,response_time_sec,item_text_full,response_text
R000011,simulated,BIGTREE-FA25,BTS-01,K-12 Leadership,0,run-0001,practice,lab1,Lab 1 · describing and trusting data,11,2025-08-29,2025-08-29 22:25:53,1,Fri,22,Late night,575,SKC-16,Reliability,theme,Themed sets,4,Reliability and Validity,4,skc,Sporting KC,exam1,lab1,,0,,,,,4,2,Reliability — the readings are not consistent,171,45,42.0,3.0,1,1,mobile,2,Reliability — the readings are not consistent,1,2021.6,"Q: A GPS vest reports 9.1 km, 7.4 km, and 10.3 km of running for the same recorded training session when the file is processed three times. The measurement problem is one of:  ||  A) Validity — the vest is measuring the wrong construct  |  B) Reliability — the readings are not consistent [X]  |  C) Sampling — three processings is too few  |  D) Skew — the distances are not normal",Chose B) Reliability — the readings are not consistent - CORRECT
R000012,simulated,BIGTREE-FA25,BTS-01,K-12 Leadership,0,run-0001,practice,lab1,Lab 1 · describing and trusting data,12,2025-08-29,2025-08-29 22:29:54,1,Fri,22,Late night,385,BRO-05,Center and spread,theme,Themed sets,3,"Center, Spread and a First Analysis",3,broncos,Denver Broncos,exam1,lab1,,0,,,,,4,2,24,131,2,2.0,0.0,1,1,mobile,3,27,0,16.1,"Q: Over 17 games the Broncos score 24, 21, 27, 10, 24, 31, 24, 17, 20, 24, 13, 28, 24, 21, 35, 24, 19 points. Which value is the mode?  ||  A) 21  |  B) 24 [X]  |  C) 27  |  D) 35",Chose C) 27 - INCORRECT (key: B) 24)
R000013,simulated,BIGTREE-FA25,BTS-01,K-12 Leadership,0,run-0001,practice,lab1,Lab 1 · describing and trusting data,13,2025-08-29,2025-08-29 22:30:12,1,Fri,22,Late night,609,NEWS-20,Validity,news,"Current events — real reported figures, with the source",4,Reliability and Validity,4,,,exam1,lab1,,0,Reuters/Ipsos,"Jul 29–Aug 3, 2026",2026-09-11,https://www.ipsos.com/en-us/reutersipsos-august-2026-poll,4,1,"What ""cost of living"" meant to each respondent — groceries, rent, gas, or something else",156,88,32.0,56.0,0,1,mobile,3,Whether the sample was too large,0,15.8,"Q: Forty-eight percent of respondents named ""cost of living"" as their most important midterm issue. Before accepting that number, the first question to ask is:  ||  A) What ""cost of living"" meant to each respondent — groceries, rent, gas, or something else [X]  |  B) Whether 48% is more than half  |  C) Whether the sample was too large  |  D) Whether the variable is ratio-level","Chose C) Whether the sample was too large - INCORRECT (key: A) What ""cost of living"" meant to each respondent — groceries, rent, gas, or something else)"
R000014,simulated,BIGTREE-FA25,BTS-01,K-12 Leadership,0,run-0001,practice,lab1,Lab 1 · describing and trusting data,14,2025-08-29,2025-08-29 22:30:28,1,Fri,22,Late night,422,TV-08,Center and spread,theme,Themed sets,3,"Center, Spread and a First Analysis",3,taylor,Taylor's Version,exam1,lab1,,0,,,,,4,1,Date B's prices are far more spread out in the middle 50%,160,57,32.0,25.0,1,1,mobile,1,Date B's prices are far more spread out in the middle 50%,1,8.7,"Q: Resale prices for two Eras Tour dates both have a median of $900. Date A has an IQR of $200; Date B has an IQR of $1,900. What does the IQR difference tell you?  ||  A) Date B's prices are far more spread out in the middle 50% [X]  |  B) Date A had more sales  |  C) Date B's median is actually higher  |  D) Nothing — IQR only applies to normal data",Chose A) Date B's prices are far more spread out in the middle 50% - CORRECT
R000015,simulated,BIGTREE-FA25,BTS-01,K-12 Leadership,0,run-0001,practice,lab1,Lab 1 · describing and trusting data,15,2025-08-29,2025-08-29 22:30:38,1,Fri,22,Late night,54,CHRT-14,Chart choice,authored,Written to the LD 810 lecture slides,2,Variables and the Shape of Data,2,,,exam1,lab1,,0,,,,,4,2,There is little or no linear relationship in this sample,139,56,33.7,22.3,0,1,desktop,2,There is little or no linear relationship in this sample,1,1075.5,Q: A scatterplot of household income against reading score shows points scattered with no discernible pattern. The most defensible reading is:  ||  A) There is a strong negative relationship  |  B) There is little or no linear relationship in this sample [X]  |  C) The data are miscoded  |  D) A pie chart would reveal the relationship,Chose B) There is little or no linear relationship in this sample - CORRECT
R000016,simulated,BIGTREE-FA25,BTS-03,Healthcare Leadership,1,run-0002,practice,lab1,Lab 1 · describing and trusting data,1,2025-08-29,2025-08-29 19:31:00,1,Fri,19,Evening,1260,DITW-01,The three questions,authored,Written to the LD 810 lecture slides,1,Why Statistics for Leaders,1,,,exam1,lab1,,0,,,,,4,1,"Who counts as a health worker, and where the number came from",117,61,57.3,3.7,1,1,tablet,1,"Who counts as a health worker, and where the number came from",1,8.3,"Q: A global report states that 7 in 10 health workers are women. Which question does this course teach you to ask FIRST?  ||  A) Who counts as a health worker, and where the number came from [X]  |  B) Whether the finding is convenient for the report's sponsor  |  C) How widely the report was shared after it was published  |  D) Whether the percentage sits above or below the halfway mark","Chose A) Who counts as a health worker, and where the number came from - CORRECT"
R000017,simulated,BIGTREE-FA25,BTS-03,Healthcare Leadership,1,run-0002,practice,lab1,Lab 1 · describing and trusting data,2,2025-08-29,2025-08-29 19:31:10,1,Fri,19,Evening,666,S01-27,The three questions,authored,Written to the LD 810 lecture slides,1,Why Statistics for Leaders,1,,,exam1,lab1,,0,,,,,4,1,"Who is counted as first-generation, and how is retention defined?",98,65,23.3,41.7,1,1,laptop,3,Which dean reported it?,0,12.9,"Q: Applying ""where did it come from?"" to the 71% versus 78% retention gap, the sharpest follow-up is:  ||  A) Who is counted as first-generation, and how is retention defined? [X]  |  B) Is 7 points a lot?  |  C) Which dean reported it?  |  D) Was this run in SPSS or JASP?","Chose C) Which dean reported it? - INCORRECT (key: A) Who is counted as first-generation, and how is retention defined?)"
R000018,simulated,BIGTREE-FA25,BTS-03,Healthcare Leadership,1,run-0002,practice,lab1,Lab 1 · describing and trusting data,3,2025-08-29,2025-08-29 19:31:23,1,Fri,19,Evening,665,S01-26,The three questions,authored,Written to the LD 810 lecture slides,1,Why Statistics for Leaders,1,,,exam1,lab1,,0,,,,,4,2,Name in advance the evidence that would count against your position,41,67,30.7,36.3,0,1,laptop,2,Name in advance the evidence that would count against your position,1,7.9,"Q: ""What would change my mind?"" asks you to:  ||  A) Remain permanently undecided  |  B) Name in advance the evidence that would count against your position [X]  |  C) Find data supporting your view  |  D) Defer to whoever has the most data",Chose B) Name in advance the evidence that would count against your position - CORRECT
R000019,simulated,BIGTREE-FA25,BTS-03,Healthcare Leadership,1,run-0002,practice,lab1,Lab 1 · describing and trusting data,4,2025-08-29,2025-08-29 19:31:33,1,Fri,19,Evening,575,SKC-16,Reliability,theme,Themed sets,4,Reliability and Validity,4,skc,Sporting KC,exam1,lab1,,0,,,,,4,2,Reliability — the readings are not consistent,171,45,42.0,3.0,1,1,laptop,1,Validity — the vest is measuring the wrong construct,0,11.4,"Q: A GPS vest reports 9.1 km, 7.4 km, and 10.3 km of running for the same recorded training session when the file is processed three times. The measurement problem is one of:  ||  A) Validity — the vest is measuring the wrong construct  |  B) Reliability — the readings are not consistent [X]  |  C) Sampling — three processings is too few  |  D) Skew — the distances are not normal",Chose A) Validity — the vest is measuring the wrong construct - INCORRECT (key: B) Reliability — the readings are not consistent)
R000020,simulated,BIGTREE-FA25,BTS-03,Healthcare Leadership,1,run-0002,practice,lab1,Lab 1 · describing and trusting data,5,2025-08-29,2025-08-29 19:31:47,1,Fri,19,Evening,86,RELY-12,Reliability,authored,Written to the LD 810 lecture slides,4,Reliability and Validity,4,,,exam1,lab1,,0,,,,,4,2,Raises alpha,65,12,19.0,-7.0,0,1,laptop,2,Raises alpha,1,6.3,Q: Adding more items that measure the same construct well generally:  ||  A) Lowers alpha  |  B) Raises alpha [X]  |  C) Leaves alpha unchanged  |  D) Makes the scale invalid,Chose B) Raises alpha - CORRECT
R000021,simulated,BIGTREE-FA25,BTS-03,Healthcare Leadership,1,run-0002,practice,lab1,Lab 1 · describing and trusting data,6,2025-08-29,2025-08-29 19:31:55,1,Fri,19,Evening,463,AI-14,Reliability,theme,Themed sets,4,Reliability and Validity,4,ai,All things AI,exam1,lab1,,0,,,,,4,1,Test-retest reliability,151,23,19.3,3.7,1,1,laptop,4,Inter-rater reliability,0,13.7,Q: The same model is asked the same 200 factual questions on two different days and gets 178 identical answers. This is closest to which measurement idea?  ||  A) Test-retest reliability [X]  |  B) Content validity  |  C) Predictive validity  |  D) Inter-rater reliability,Chose D) Inter-rater reliability - INCORRECT (key: A) Test-retest reliability)
R000022,simulated,BIGTREE-FA25,BTS-03,Healthcare Leadership,1,run-0002,practice,lab1,Lab 1 · describing and trusting data,7,2025-08-29,2025-08-29 19:32:10,1,Fri,19,Evening,688,S01-49,What statistics cannot do,authored,Written to the LD 810 lecture slides,1,Why Statistics for Leaders,1,,,exam1,lab1,,0,,,,,4,1,Whether the difference is large enough to be worth acting on,112,60,26.0,34.0,0,1,laptop,3,What was compared,0,5.3,"Q: Later in the term you will meet results described as ""statistically significant."" That phrase will not tell you:  ||  A) Whether the difference is large enough to be worth acting on [X]  |  B) Whether a calculation was performed  |  C) What was compared  |  D) How many groups there were",Chose C) What was compared - INCORRECT (key: A) Whether the difference is large enough to be worth acting on)
R000023,simulated,BIGTREE-FA25,BTS-03,Healthcare Leadership,1,run-0002,practice,lab1,Lab 1 · describing and trusting data,8,2025-08-29,2025-08-29 19:32:16,1,Fri,19,Evening,662,S01-23,The three questions,authored,Written to the LD 810 lecture slides,1,Why Statistics for Leaders,1,,,exam1,lab1,,0,,,,,4,2,Where did it come from? How sure are we? What would change my mind?,67,67,42.0,25.0,0,1,tablet,3,Is it significant? Is it valid? Is it reliable?,0,12.6,"Q: This course teaches three questions to ask of any number. They are:  ||  A) Who said it? Is it big? Do I like it?  |  B) Where did it come from? How sure are we? What would change my mind? [X]  |  C) Is it significant? Is it valid? Is it reliable?  |  D) What is the mean, the median and the mode?",Chose C) Is it significant? Is it valid? Is it reliable? - INCORRECT (key: B) Where did it come from? How sure are we? What would change my mind?)
R000024,simulated,BIGTREE-FA25,BTS-03,Healthcare Leadership,1,run-0002,practice,lab1,Lab 1 · describing and trusting data,9,2025-08-29,2025-08-29 19:32:31,1,Fri,19,Evening,455,AI-06,Center and spread,theme,Themed sets,3,"Center, Spread and a First Analysis",3,ai,All things AI,exam1,lab1,,0,,,,,4,2,Median,150,6,7.0,-1.0,1,1,laptop,4,Range,0,14.3,"Q: Response latencies (seconds) for 9 prompts: 1.1, 1.2, 1.0, 1.3, 1.1, 1.2, 1.4, 1.1, 14.8. Which measure of center best represents the typical latency?  ||  A) Mean  |  B) Median [X]  |  C) Mode of 14.8  |  D) Range",Chose D) Range - INCORRECT (key: B) Median)
R000025,simulated,BIGTREE-FA25,BTS-03,Healthcare Leadership,1,run-0002,practice,lab1,Lab 1 · describing and trusting data,10,2025-08-29,2025-08-29 19:32:45,1,Fri,19,Evening,147,SPREAD-08,Center and spread,lecture,Rewritten from textbook items to match lecture,3,"Center, Spread and a First Analysis",3,,,exam1,lab1,,1,,,,,4,2,"Is in the same units as the original data, so readers can interpret it",123,70,28.0,42.0,0,1,desktop,3,Ignores outliers,0,10.3,"Q: A colleague asks why you reported the standard deviation instead of the variance in a memo. The best reason is that the SD:  ||  A) Is always smaller and therefore looks better  |  B) Is in the same units as the original data, so readers can interpret it [X]  |  C) Ignores outliers  |  D) Is required by APA style","Chose C) Ignores outliers - INCORRECT (key: B) Is in the same units as the original data, so readers can interpret it)"
R000026,simulated,BIGTREE-FA25,BTS-03,Healthcare Leadership,1,run-0003,practice,freeplay,Free play - whole course pool,1,2025-09-01,2025-09-01 20:48:00,1,Mon,20,Evening,32,NOIR-12,Levels of measurement,authored,Written to the LD 810 lecture slides,2,Variables and the Shape of Data,2,,,exam1,lab1,,0,,,,,4,2,"Is meaningless, because the numbers are labels rather than quantities",99,69,34.7,34.3,1,1,laptop,4,Becomes valid with a large enough sample,0,10.3,"Q: A researcher codes region as 1 = South, 2 = Midwest, 3 = West. Computing the mean of this variable:  ||  A) Returns the average region  |  B) Is meaningless, because the numbers are labels rather than quantities [X]  |  C) Is valid because the codes are numeric  |  D) Becomes valid with a large enough sample","Chose D) Becomes valid with a large enough sample - INCORRECT (key: B) Is meaningless, because the numbers are labels rather than quantities)"
R000027,simulated,BIGTREE-FA25,BTS-03,Healthcare Leadership,1,run-0003,practice,freeplay,Free play - whole course pool,2,2025-09-01,2025-09-01 20:48:10,1,Mon,20,Evening,1234,SKC-45,Regression,theme,Themed sets,11,Correlation and Regression,11,skc,Sporting KC,exam2,lab4,,0,,,,,4,3,Each additional promotion day predicts about 120 more attendees,126,63,45.0,18.0,1,1,laptop,4,Each additional attendee predicts 120 more promotion days,0,22.1,Q: A regression predicting attendance from days of advance promotion yields a slope of 120. How should this slope be interpreted?  ||  A) Average attendance is 120  |  B) Promotion explains 120 percent of attendance variance  |  C) Each additional promotion day predicts about 120 more attendees [X]  |  D) Each additional attendee predicts 120 more promotion days,Chose D) Each additional attendee predicts 120 more promotion days - INCORRECT (key: C) Each additional promotion day predicts about 120 more attendees)
R000028,simulated,BIGTREE-FA25,BTS-03,Healthcare Leadership,1,run-0003,practice,freeplay,Free play - whole course pool,3,2025-09-01,2025-09-01 20:48:33,1,Mon,20,Evening,740,S06-01,Normal curve,authored,Written to the LD 810 lecture slides,6,The Normal Curve and z-Scores,6,,,exam1,lab2,,0,,,,,4,3,"The mean, median, and mode all fall at the same point.",151,54,44.0,10.0,1,1,laptop,4,The mean sits at the peak but the median sits out in the right tail.,0,17.0,"Q: A district plots 4,000 reading scores and gets a smooth, bell-shaped, symmetric curve. What does that shape imply about the center of the distribution?  ||  A) The median falls above the mean.  |  B) The mode falls above the median.  |  C) The mean, median, and mode all fall at the same point. [X]  |  D) The mean sits at the peak but the median sits out in the right tail.","Chose D) The mean sits at the peak but the median sits out in the right tail. - INCORRECT (key: C) The mean, median, and mode all fall at the same point.)"
R000029,simulated,BIGTREE-FA25,BTS-03,Healthcare Leadership,1,run-0003,practice,freeplay,Free play - whole course pool,4,2025-09-01,2025-09-01 20:48:51,1,Mon,20,Evening,65,SOFT-05,Software and output,authored,Written to the LD 810 lecture slides,5,SPSS and JASP Orientation,5,,,none,none,,0,,,,,4,3,Choose the right analysis and say what the result means,81,55,16.0,39.0,0,1,mobile,3,Choose the right analysis and say what the result means,1,15.3,Q: What is the single most important thing statistical software will not do for you?  ||  A) Arithmetic  |  B) Produce formatted tables  |  C) Choose the right analysis and say what the result means [X]  |  D) Save your work,Chose C) Choose the right analysis and say what the result means - CORRECT
R000030,simulated,BIGTREE-FA25,BTS-03,Healthcare Leadership,1,run-0003,practice,freeplay,Free play - whole course pool,5,2025-09-01,2025-09-01 20:49:08,1,Mon,20,Evening,586,SKC-27,Correlation,theme,Themed sets,11,Correlation and Regression,11,skc,Sporting KC,exam2,lab4,,0,,,,,4,3,Holding the ball more causes a team to earn more points,105,55,52.7,2.3,1,1,tablet,2,About 18% of the variance in points is shared with possession,0,19.7,"Q: Across 20 seasons, possession share and points earned correlate at r = .42. Which claim is NOT supported?  ||  A) The relationship is positive and moderate  |  B) About 18% of the variance in points is shared with possession  |  C) Holding the ball more causes a team to earn more points [X]  |  D) Seasons with more possession tended to bring more points",Chose B) About 18% of the variance in points is shared with possession - INCORRECT (key: C) Holding the ball more causes a team to earn more points)
R000031,simulated,BIGTREE-FA25,BTS-03,Healthcare Leadership,1,run-0003,practice,freeplay,Free play - whole course pool,6,2025-09-01,2025-09-01 20:49:29,1,Mon,20,Evening,1042,S12-03,Effect size,authored,Written to the LD 810 lecture slides,12,Multiple Regression and Diagnostics,12,,,exam2,lab4,,0,,,,,4,4,The new predictor is not worth the degrees of freedom it costs.,161,63,64.3,-1.3,1,1,laptop,4,The new predictor is not worth the degrees of freedom it costs.,1,8.4,"Q: An analyst adds a sixth predictor to a donor renewal model. R-squared rises from .41 to .42, but adjusted R-squared falls from .38 to .36. What is the best read?  ||  A) The model clearly improved, because the raw R-squared went up.  |  B) Adjusted R-squared was almost certainly computed incorrectly here.  |  C) The new predictor is significant but carries only a small effect.  |  D) The new predictor is not worth the degrees of freedom it costs. [X]",Chose D) The new predictor is not worth the degrees of freedom it costs. - CORRECT
R000032,simulated,BIGTREE-FA25,BTS-03,Healthcare Leadership,1,run-0003,practice,freeplay,Free play - whole course pool,7,2025-09-01,2025-09-01 20:49:39,1,Mon,20,Evening,1220,SKC-31,Normal curve,theme,Themed sets,6,The Normal Curve and z-Scores,6,skc,Sporting KC,exam1,lab2,,0,,,,,4,1,1.50,209,4,4.0,0.0,1,1,laptop,3,2.25,0,17.8,"Q: A club analyst treats match attendance at Children's Mercy Park as roughly normal with a mean of 18,000 and a standard deviation of 1,500 in her working dataset. What is the z-score for a match drawing 20,250?  ||  A) 1.50 [X]  |  B) 0.67  |  C) 2.25  |  D) 1.15",Chose C) 2.25 - INCORRECT (key: A) 1.50)
R000033,simulated,BIGTREE-FA25,BTS-03,Healthcare Leadership,1,run-0003,practice,freeplay,Free play - whole course pool,8,2025-09-01,2025-09-01 20:49:58,1,Mon,20,Evening,598,NEWS-09,Center and spread,news,"Current events — real reported figures, with the source",3,"Center, Spread and a First Analysis",3,,,exam1,lab1,,0,Pew Research Center,"Jun 22–28, 2026",2026-09-11,https://www.pewresearch.org/short-reads/2026/08/18/young-adults-in-the-us-are-increasingly-wary-of-ai-concerned-it-will-take-jobs/,4,2,72.5,144,4,2.7,1.3,1,1,laptop,3,73,0,14.3,"Q: Pew's shares expecting AI to mean fewer jobs were 73% (18–29), 74% (30–49), 72% (50–64), and 63% (65+). What is the median of those four values?  ||  A) 70.5  |  B) 72.5 [X]  |  C) 73  |  D) 74",Chose C) 73 - INCORRECT (key: B) 72.5)
R000034,simulated,BIGTREE-FA25,BTS-03,Healthcare Leadership,1,run-0003,practice,freeplay,Free play - whole course pool,9,2025-09-01,2025-09-01 20:50:14,1,Mon,20,Evening,1232,SKC-43,ANOVA,theme,Themed sets,10,ANOVA and Post-Hoc Comparisons,10,skc,Sporting KC,exam2,lab3,,0,,,,,4,4,It controls the familywise Type I error rate,179,44,40.3,3.7,0,1,laptop,3,It converts the F ratio into an effect size,0,16.2,"Q: The seating-zone ANOVA returns a significant F ratio, and the analyst follows it with Tukey's HSD across all pairs. What is the main reason for Tukey rather than repeated t-tests?  ||  A) It raises statistical power at no cost  |  B) It removes the need to check assumptions  |  C) It converts the F ratio into an effect size  |  D) It controls the familywise Type I error rate [X]",Chose C) It converts the F ratio into an effect size - INCORRECT (key: D) It controls the familywise Type I error rate)
R000035,simulated,BIGTREE-FA25,BTS-03,Healthcare Leadership,1,run-0003,practice,freeplay,Free play - whole course pool,10,2025-09-01,2025-09-01 20:50:31,1,Mon,20,Evening,349,P06-38,Reliability and validity,pub,Publisher test bank — application level,4,Reliability and Validity,4,,,exam1,lab1,,1,,,,,4,3,interrater,242,10,15.0,-5.0,0,1,laptop,3,interrater,1,10.1,"Q: Two trained professionals observe the behavior of children in a classroom. They each rate observed behaviors using the same form, and the number of items that were rated the same is calculated. This is an example of which type of reliability?  ||  A) parallel forms  |  B) test-retest  |  C) interrater [X]  |  D) internal consistency",Chose C) interrater - CORRECT
R000036,simulated,BIGTREE-FA25,BTS-03,Healthcare Leadership,1,run-0003,practice,freeplay,Free play - whole course pool,11,2025-09-01,2025-09-01 20:50:43,1,Mon,20,Evening,1221,SKC-32,Normal curve,theme,Themed sets,6,The Normal Curve and z-Scores,6,skc,Sporting KC,exam1,lab2,,0,,,,,4,2,The time is two standard deviations faster than average,182,55,46.7,8.3,1,1,laptop,4,The z-score cannot be read without the raw mean,0,27.8,Q: An academy fitness coach reports that a trialist's sprint time has a z-score of -2.0 on a normally distributed scouting measure where lower times are faster. What does this indicate?  ||  A) The time is two standard deviations slower than average  |  B) The time is two standard deviations faster than average [X]  |  C) The time sits near the 50th percentile  |  D) The z-score cannot be read without the raw mean,Chose D) The z-score cannot be read without the raw mean - INCORRECT (key: B) The time is two standard deviations faster than average)
