item_number,item_id,topic,tier_code,tier_label,session_primary,session_name,session_all,theme_code,theme_label,exam_block,lab_block,extra_topic,source_note,news_outlet,news_date,news_sourced,news_url,n_options,correct_position,correct_option_text,stem_chars,key_chars,mean_distractor_chars,key_length_advantage,numeric_item,item_text_full,n_responses
16,IVDV-16,Variables and design,authored,Written to the LD 810 lecture slides,2,Variables and the Shape of Data,2,,,exam1,lab1,,,,,,,4,2,Direction cannot be established from correlational data; low-turnover units may simply attract adaptive leaders,158,111,36.7,74.3,0,"Q: A report finds that units with more adaptive leaders had lower turnover, and concludes that adaptive leadership reduces turnover. The central problem is that:  ||  A) Turnover cannot be measured reliably  |  B) Direction cannot be established from correlational data; low-turnover units may simply attract adaptive leaders [X]  |  C) The independent variable has too many levels  |  D) Turnover is a nominal variable",5
17,IVDV-17,Variables and design,authored,Written to the LD 810 lecture slides,2,Variables and the Shape of Data,2,,,exam1,lab1,,,,,,,4,2,"Is descriptive rather than comparative, so no independent variable is required",123,78,39.3,38.7,0,"Q: A communications director wants to estimate what proportion of a region's residents do not use the internet. This question:  ||  A) Has one independent and one dependent variable  |  B) Is descriptive rather than comparative, so no independent variable is required [X]  |  C) Requires an experimental design  |  D) Cannot be answered with quantitative data",24
18,IVDV-18,Variables and design,authored,Written to the LD 810 lecture slides,2,Variables and the Shape of Data,2,,,exam1,lab1,,,,,,,4,2,The new curriculum and the existing curriculum,99,46,30.3,15.7,0,"Q: In a study of whether a new curriculum improves scores, the levels of the independent variable are:  ||  A) The scores students earn  |  B) The new curriculum and the existing curriculum [X]  |  C) The number of students in each group  |  D) The pre-test and the gain score",11
19,IVDV-19,Variables and design,authored,Written to the LD 810 lecture slides,2,Variables and the Shape of Data,2,,,exam1,lab1,,,,,,,4,2,Admission to the program already selects for higher-achieving students,102,70,48.7,21.3,0,Q: A dean claims the honors program causes higher GPAs. The strongest available counter-argument is that:  ||  A) GPA is an ordinal variable and cannot be averaged  |  B) Admission to the program already selects for higher-achieving students [X]  |  C) The honors program enrolls too few students  |  D) GPA is measured on different scales across departments,10
20,IVDV-20,Variables and design,authored,Written to the LD 810 lecture slides,2,Variables and the Shape of Data,2,,,exam1,lab1,,,,,,,4,2,Time of measurement,124,19,23.7,-4.7,0,"Q: A researcher measures the same group's stress scores in September, November, and February. What is the independent variable?  ||  A) The stress score  |  B) Time of measurement [X]  |  C) The group being studied  |  D) There is no independent variable",5
21,NOIR-01,Levels of measurement,authored,Written to the LD 810 lecture slides,2,Variables and the Shape of Data,2,,,exam1,lab1,,,,,,,4,1,Nominal,109,7,6.7,0.3,0,Q: A survey asks respondents which branch of service they served in. What level of measurement is this variable?  ||  A) Nominal [X]  |  B) Ordinal  |  C) Interval  |  D) Ratio,10
22,NOIR-02,Levels of measurement,authored,Written to the LD 810 lecture slides,2,Variables and the Shape of Data,2,,,exam1,lab1,,,,,,,4,2,Ordinal,99,7,6.7,0.3,0,Q: A chaplain ranks eight units from most to least cohesive. What level of measurement is the ranking?  ||  A) Nominal  |  B) Ordinal [X]  |  C) Interval  |  D) Ratio,4
23,NOIR-03,Levels of measurement,authored,Written to the LD 810 lecture slides,2,Variables and the Shape of Data,2,,,exam1,lab1,,,,,,,4,4,Ratio,97,5,7.3,-2.3,0,Q: The number of failed inspections recorded in a jurisdiction last year is measured at which level?  ||  A) Nominal  |  B) Ordinal  |  C) Interval  |  D) Ratio [X],6
24,NOIR-04,Levels of measurement,authored,Written to the LD 810 lecture slides,2,Variables and the Shape of Data,2,,,exam1,lab1,,,,,,,4,3,There is a meaningful zero representing absence of the quantity,73,63,35.7,27.3,0,Q: Which property distinguishes ratio measurement from interval measurement?  ||  A) Categories can be ordered  |  B) Intervals between adjacent values are equal  |  C) There is a meaningful zero representing absence of the quantity [X]  |  D) The number of possible values is finite,11
25,NOIR-05,Levels of measurement,authored,Written to the LD 810 lecture slides,2,Variables and the Shape of Data,2,,,exam1,lab1,,,,,,,4,3,Interval,96,8,6.3,1.7,0,Q: A provider records patient temperature in degrees Fahrenheit. What level of measurement is this?  ||  A) Nominal  |  B) Ordinal  |  C) Interval [X]  |  D) Ratio,10
26,NOIR-06,Levels of measurement,authored,Written to the LD 810 lecture slides,2,Variables and the Shape of Data,2,,,exam1,lab1,,,,,,,4,2,Ordinal,87,7,6.7,0.3,0,"Q: Military rank, ordered from Private through Sergeant Major, is measured at which level?  ||  A) Nominal  |  B) Ordinal [X]  |  C) Interval  |  D) Ratio",22
27,NOIR-07,Levels of measurement,authored,Written to the LD 810 lecture slides,2,Variables and the Shape of Data,2,,,exam1,lab1,,,,,,,4,3,Days absent in a semester,51,25,14.7,10.3,0,Q: Which of these can be averaged without controversy?  ||  A) Zip code  |  B) Military rank  |  C) Days absent in a semester [X]  |  D) Type of building permit,2
28,NOIR-08,Levels of measurement,authored,Written to the LD 810 lecture slides,2,Variables and the Shape of Data,2,,,exam1,lab1,,,,,,,4,2,Ordinal,130,7,6.7,0.3,0,"Q: A single survey item asks respondents to rate agreement from Strongly Disagree to Strongly Agree. Strictly speaking, that item is:  ||  A) Nominal  |  B) Ordinal [X]  |  C) Interval  |  D) Ratio",12
29,NOIR-09,Levels of measurement,authored,Written to the LD 810 lecture slides,2,Variables and the Shape of Data,2,,,exam1,lab1,,,,,,,4,2,"Summing several items yields a score with more values and more nearly equal spacing, and the practice is widely accepted",116,120,40.7,79.3,0,"Q: Why do researchers commonly treat a summed multi-item Likert scale as interval even though a single item is ordinal?  ||  A) Averaging repairs any measurement problem  |  B) Summing several items yields a score with more values and more nearly equal spacing, and the practice is widely accepted [X]  |  C) Statistical software requires interval data  |  D) Ordinal data cannot be analyzed at all",12
30,NOIR-10,Levels of measurement,authored,Written to the LD 810 lecture slides,2,Variables and the Shape of Data,2,,,exam1,lab1,,,,,,,4,1,Nominal,89,7,6.7,0.3,0,Q: A number assigned to each participant purely as an identifier is measured at which level?  ||  A) Nominal [X]  |  B) Ordinal  |  C) Interval  |  D) Ratio,5
31,NOIR-11,Levels of measurement,authored,Written to the LD 810 lecture slides,2,Variables and the Shape of Data,2,,,exam1,lab1,,,,,,,4,2,"It represents a true absence of the quantity, which is what makes the variable ratio",71,84,45.0,39.0,0,"Q: Which statement about the zero in 'zero failed inspections' is correct?  ||  A) It is arbitrary, in the way that zero degrees Fahrenheit is arbitrary  |  B) It represents a true absence of the quantity, which is what makes the variable ratio [X]  |  C) It cannot be included in calculations  |  D) It makes the variable ordinal",10
32,NOIR-12,Levels of measurement,authored,Written to the LD 810 lecture slides,2,Variables and the Shape of Data,2,,,exam1,lab1,,,,,,,4,2,"Is meaningless, because the numbers are labels rather than quantities",99,69,34.7,34.3,1,"Q: A researcher codes region as 1 = South, 2 = Midwest, 3 = West. Computing the mean of this variable:  ||  A) Returns the average region  |  B) Is meaningless, because the numbers are labels rather than quantities [X]  |  C) Is valid because the codes are numeric  |  D) Becomes valid with a large enough sample",6
33,NOIR-13,Levels of measurement,authored,Written to the LD 810 lecture slides,2,Variables and the Shape of Data,2,,,exam1,lab1,,,,,,,4,2,Ordinal,98,7,6.7,0.3,0,"Q: Highest degree earned, recorded as Bachelor's, Master's, or Doctorate, is measured at which level?  ||  A) Nominal  |  B) Ordinal [X]  |  C) Interval  |  D) Ratio",7
34,NOIR-14,Levels of measurement,authored,Written to the LD 810 lecture slides,2,Variables and the Shape of Data,2,,,exam1,lab1,,,,,,,4,3,Whether a permit was approved or denied,36,39,24.7,14.3,0,Q: Which of these variables is nominal?  ||  A) Years of service  |  B) Satisfaction rated 1 through 5  |  C) Whether a permit was approved or denied [X]  |  D) Days to process a transcript,9
35,NOIR-15,Levels of measurement,authored,Written to the LD 810 lecture slides,2,Variables and the Shape of Data,2,,,exam1,lab1,,,,,,,4,2,"It guides which analyses and charts the software offers, without preventing a bad choice",120,88,40.3,47.7,0,"Q: In SPSS, the Measure column in Variable View is set to Nominal, Ordinal, or Scale. Setting it correctly matters because:  ||  A) It changes the values stored in the file  |  B) It guides which analyses and charts the software offers, without preventing a bad choice [X]  |  C) The file will not save until it is set  |  D) It converts ordinal data into interval data",7
36,NOIR-16,Levels of measurement,authored,Written to the LD 810 lecture slides,2,Variables and the Shape of Data,2,,,exam1,lab1,,,,,,,4,4,Ratio,73,5,7.3,-2.3,0,"Q: Time to complete a task, measured in seconds, is measured at which level?  ||  A) Nominal  |  B) Ordinal  |  C) Interval  |  D) Ratio [X]",8
37,NOIR-17,Levels of measurement,authored,Written to the LD 810 lecture slides,2,Variables and the Shape of Data,2,,,exam1,lab1,,,,,,,4,1,Nominal,98,7,6.7,0.3,0,"Q: A gardener classifies plants as annual, biennial, or perennial. What level of measurement is this?  ||  A) Nominal [X]  |  B) Ordinal  |  C) Interval  |  D) Ratio",30
38,NOIR-18,Levels of measurement,authored,Written to the LD 810 lecture slides,2,Variables and the Shape of Data,2,,,exam1,lab1,,,,,,,4,3,A value of 20 represents twice as much as a value of 10,67,55,37.0,18.0,0,Q: Which claim is legitimate for ratio data but not for interval data?  ||  A) One value is larger than another  |  B) The gap from 10 to 20 equals the gap from 30 to 40  |  C) A value of 20 represents twice as much as a value of 10 [X]  |  D) Values can be placed in order,6
39,NOIR-19,Levels of measurement,authored,Written to the LD 810 lecture slides,2,Variables and the Shape of Data,2,,,exam1,lab1,,,,,,,4,2,"The mean assumes equal intervals, which ranks do not guarantee",79,62,37.3,24.7,0,"Q: A researcher reports a median rather than a mean for a ranked variable because:  ||  A) The median is always the more accurate statistic  |  B) The mean assumes equal intervals, which ranks do not guarantee [X]  |  C) Ordinal variables have no center  |  D) The median is simpler to compute",8
40,NOIR-20,Levels of measurement,authored,Written to the LD 810 lecture slides,2,Variables and the Shape of Data,2,,,exam1,lab1,,,,,,,4,3,Number of months deployed,61,25,32.0,-7.0,0,"Q: Which of these carries the most information about deployment?  ||  A) Whether a soldier deployed  |  B) Deployment length ranked as short, medium, or long  |  C) Number of months deployed [X]  |  D) Region of deployment",11
41,CHRT-01,Chart choice,authored,Written to the LD 810 lecture slides,2,Variables and the Shape of Data,2,,,exam1,lab1,,,,,,,4,2,Histogram,135,9,12.3,-3.3,0,Q: A registrar wants to show how days-to-process a transcript request is distributed across one year of requests. Which display fits best?  ||  A) Pie chart  |  B) Histogram [X]  |  C) Scatterplot  |  D) Stacked bar chart,10
42,CHRT-02,Chart choice,authored,Written to the LD 810 lecture slides,2,Variables and the Shape of Data,2,,,exam1,lab1,,,,,,,4,3,Scatterplot,106,11,14.0,-3.0,0,Q: A researcher wants to show whether caseload size and burnout score move together. Which display fits best?  ||  A) Histogram  |  B) Bar chart of group means  |  C) Scatterplot [X]  |  D) Pie chart,13
43,CHRT-03,Chart choice,authored,Written to the LD 810 lecture slides,2,Variables and the Shape of Data,2,,,exam1,lab1,,,,,,,4,1,Bar chart,88,9,13.3,-4.3,0,Q: A dean wants to compare mean satisfaction across four colleges. Which display fits best?  ||  A) Bar chart [X]  |  B) Histogram  |  C) Scatterplot  |  D) Line chart over time,5
44,CHRT-04,Chart choice,authored,Written to the LD 810 lecture slides,2,Variables and the Shape of Data,2,,,exam1,lab1,,,,,,,4,3,Bar chart of category shares,130,28,9.3,18.7,0,Q: A code official wants to show what share of permits fall into each of five mutually exclusive categories. Which display fits best?  ||  A) Histogram  |  B) Scatterplot  |  C) Bar chart of category shares [X]  |  D) Box plot,9
45,CHRT-05,Chart choice,authored,Written to the LD 810 lecture slides,2,Variables and the Shape of Data,2,,,exam1,lab1,,,,,,,4,2,Line chart,129,10,15.3,-5.3,0,Q: A clinic director wants to show the count of vaccine exemption requests in each of the last eight years. Which display fits best?  ||  A) Pie chart  |  B) Line chart [X]  |  C) Scatterplot of two variables  |  D) Histogram,14
46,CHRT-06,Chart choice,authored,Written to the LD 810 lecture slides,2,Variables and the Shape of Data,2,,,exam1,lab1,,,,,,,4,2,A truncated axis makes a small difference look large,124,52,33.3,18.7,1,Q: A chart compares satisfaction of 3.35 against 3.45 with the vertical axis running from 3.30 to 3.50. The central problem is:  ||  A) The wrong chart type was chosen  |  B) A truncated axis makes a small difference look large [X]  |  C) Too few colors were used  |  D) The variable is ordinal and cannot be charted,9
47,CHRT-07,Chart choice,authored,Written to the LD 810 lecture slides,2,Variables and the Shape of Data,2,,,exam1,lab1,,,,,,,4,2,Side-by-side box plots,142,22,24.7,-2.7,0,Q: A researcher wants to compare the spread and the median of inspection times across three jurisdictions in one figure. Which display fits best?  ||  A) Pie chart for each jurisdiction  |  B) Side-by-side box plots [X]  |  C) One histogram combining all three  |  D) Line chart,6
48,CHRT-08,Chart choice,authored,Written to the LD 810 lecture slides,2,Variables and the Shape of Data,2,,,exam1,lab1,,,,,,,4,2,"The distribution is bimodal, and a single mean may describe almost nobody",101,73,25.7,47.3,0,"Q: A histogram of satisfaction scores shows two clearly separated peaks. The most defensible reading is:  ||  A) The data must contain errors  |  B) The distribution is bimodal, and a single mean may describe almost nobody [X]  |  C) The bin width is too small  |  D) The variable is nominal",7
49,CHRT-09,Chart choice,authored,Written to the LD 810 lecture slides,2,Variables and the Shape of Data,2,,,exam1,lab1,,,,,,,4,2,"Can change the apparent shape of the distribution, which makes it an editorial choice",38,85,39.0,46.0,0,"Q: Changing the bin width of a histogram:  ||  A) Changes the underlying data  |  B) Can change the apparent shape of the distribution, which makes it an editorial choice [X]  |  C) Has no effect on how the distribution reads  |  D) Is fixed by the software and cannot be adjusted",6
50,CHRT-10,Chart choice,authored,Written to the LD 810 lecture slides,2,Variables and the Shape of Data,2,,,exam1,lab1,,,,,,,4,2,Angle comparisons become unreliable and small slices are indistinguishable,65,74,38.0,36.0,0,Q: Why is a pie chart a poor choice for comparing eleven categories?  ||  A) Pie charts cannot display more than five values  |  B) Angle comparisons become unreliable and small slices are indistinguishable [X]  |  C) Pie charts require ratio-level data  |  D) Eleven colors cannot be rendered,21
51,CHRT-11,Chart choice,authored,Written to the LD 810 lecture slides,2,Variables and the Shape of Data,2,,,exam1,lab1,,,,,,,4,2,Chartjunk that lowers the data-ink ratio without adding information,120,67,34.0,33.0,0,"Q: A dashboard bar chart carries a three-dimensional effect, a gradient fill, and a drop shadow. This is best described as:  ||  A) Good practice, because it draws the reader's eye  |  B) Chartjunk that lowers the data-ink ratio without adding information [X]  |  C) A requirement for accessibility  |  D) A problem only in print",10
52,CHRT-12,Chart choice,authored,Written to the LD 810 lecture slides,2,Variables and the Shape of Data,2,,,exam1,lab1,,,,,,,4,2,Bar chart,78,9,10.0,-1.0,0,"Q: To display counts of personnel by branch of service, the appropriate chart is:  ||  A) Histogram  |  B) Bar chart [X]  |  C) Scatterplot  |  D) Line chart",9
53,CHRT-13,Chart choice,authored,Written to the LD 810 lecture slides,2,Variables and the Shape of Data,2,,,exam1,lab1,,,,,,,4,2,Histogram,60,9,19.0,-10.0,0,Q: Which display best reveals whether a distribution is skewed?  ||  A) Pie chart  |  B) Histogram [X]  |  C) Bar chart of category counts  |  D) Table of group means,6
54,CHRT-14,Chart choice,authored,Written to the LD 810 lecture slides,2,Variables and the Shape of Data,2,,,exam1,lab1,,,,,,,4,2,There is little or no linear relationship in this sample,139,56,33.7,22.3,0,Q: A scatterplot of household income against reading score shows points scattered with no discernible pattern. The most defensible reading is:  ||  A) There is a strong negative relationship  |  B) There is little or no linear relationship in this sample [X]  |  C) The data are miscoded  |  D) A pie chart would reveal the relationship,8
55,CHRT-15,Chart choice,authored,Written to the LD 810 lecture slides,2,Variables and the Shape of Data,2,,,exam1,lab1,,,,,,,4,2,Readers with common forms of color blindness cannot reliably tell them apart,75,76,31.0,45.0,0,Q: Distinguishing two data series by red and green alone is a problem because:  ||  A) It uses too much ink  |  B) Readers with common forms of color blindness cannot reliably tell them apart [X]  |  C) Red and green cannot be printed accurately  |  D) A legend then becomes mandatory,15
56,CHRT-16,Chart choice,authored,Written to the LD 810 lecture slides,2,Variables and the Shape of Data,2,,,exam1,lab1,,,,,,,4,2,An ordered sequence such as time,64,32,17.0,15.0,0,Q: A line chart is appropriate when the horizontal axis represents:  ||  A) Unordered categories  |  B) An ordered sequence such as time [X]  |  C) Any nominal variable  |  D) Group means,7
57,CHRT-17,Chart choice,authored,Written to the LD 810 lecture slides,2,Variables and the Shape of Data,2,,,exam1,lab1,,,,,,,4,2,It lets the reader judge whether the difference is large enough to act on,132,73,31.3,41.7,0,"Q: In a chart comparing two groups on one measure, the strongest argument for showing the full scale rather than a zoomed axis is that:  ||  A) It fills the available space better  |  B) It lets the reader judge whether the difference is large enough to act on [X]  |  C) APA style requires it  |  D) It reduces the number of colors needed",16
58,CHRT-18,Chart choice,authored,Written to the LD 810 lecture slides,2,Variables and the Shape of Data,2,,,exam1,lab1,,,,,,,4,3,Line chart with three points,95,28,22.3,5.7,0,Q: Which display best shows how one group's stress scores changed across three measurement points?  ||  A) Pie chart  |  B) Scatterplot of two variables  |  C) Line chart with three points [X]  |  D) Histogram of all scores pooled,10
59,CHRT-19,Chart choice,authored,Written to the LD 810 lecture slides,2,Variables and the Shape of Data,2,,,exam1,lab1,,,,,,,4,2,Composition within each category alongside the category totals,57,62,39.7,22.3,0,Q: A stacked bar chart is most useful when you want to show:  ||  A) The relationship between two continuous variables  |  B) Composition within each category alongside the category totals [X]  |  C) The shape of a single distribution  |  D) An exact mean and standard deviation,8
60,CHRT-20,Chart choice,authored,Written to the LD 810 lecture slides,2,Variables and the Shape of Data,2,,,exam1,lab1,,,,,,,4,2,"What claim the figure has to support, and at what level the variables are measured",56,82,39.3,42.7,0,"Q: Before choosing any chart, the first question to ask is:  ||  A) Which chart type looks most professional  |  B) What claim the figure has to support, and at what level the variables are measured [X]  |  C) How many colors the template allows  |  D) Whether the software offers that chart type",5
61,SOFT-01,Software and output,authored,Written to the LD 810 lecture slides,5,SPSS and JASP Orientation,5,,,none,none,,,,,,,4,2,"Define each variable's name, type, labels, and measure",36,54,24.3,29.7,0,"Q: In SPSS, Variable View is where you:  ||  A) Enter individual cases  |  B) Define each variable's name, type, labels, and measure [X]  |  C) Read the results of an analysis  |  D) Write and run syntax",1
62,SOFT-02,Software and output,authored,Written to the LD 810 lecture slides,5,SPSS and JASP Orientation,5,,,none,none,,,,,,,4,3,The Output Viewer,46,17,13.0,4.0,0,"Q: In SPSS, the results of an analysis appear in:  ||  A) Data View  |  B) Variable View  |  C) The Output Viewer [X]  |  D) The Chart Builder",1
65,SOFT-05,Software and output,authored,Written to the LD 810 lecture slides,5,SPSS and JASP Orientation,5,,,none,none,,,,,,,4,3,Choose the right analysis and say what the result means,81,55,16.0,39.0,0,Q: What is the single most important thing statistical software will not do for you?  ||  A) Arithmetic  |  B) Produce formatted tables  |  C) Choose the right analysis and say what the result means [X]  |  D) Save your work,1
66,SOFT-06,Software and output,authored,Written to the LD 810 lecture slides,5,SPSS and JASP Orientation,5,,,none,none,,,,,,,4,2,"It leaves a record of exactly what you did, which makes the analysis reproducible",67,81,30.7,50.3,0,"Q: SPSS syntax is worth learning even if you prefer the menus because:  ||  A) Menus and syntax produce different results  |  B) It leaves a record of exactly what you did, which makes the analysis reproducible [X]  |  C) Typing is faster than clicking  |  D) JASP requires syntax",1
67,SOFT-07,Software and output,authored,Written to the LD 810 lecture slides,5,SPSS and JASP Orientation,5,,,none,none,,,,,,,4,3,30 days,29,7,6.7,0.3,0,Q: The SPSS free trial runs for:  ||  A) 7 days  |  B) 14 days  |  C) 30 days [X]  |  D) 90 days,1
68,SOFT-08,Software and output,authored,Written to the LD 810 lecture slides,5,SPSS and JASP Orientation,5,,,none,none,,,,,,,4,2,Activating it so the 30-day window covers the lab you plan to do in SPSS,76,72,42.3,29.7,0,Q: You intend to complete one lab entirely in SPSS. The trial clock argues for:  ||  A) Activating the trial the day you first hear about it  |  B) Activating it so the 30-day window covers the lab you plan to do in SPSS [X]  |  C) Never activating it at all  |  D) Activating it and letting it lapse before the lab,2
69,SOFT-09,Software and output,authored,Written to the LD 810 lecture slides,5,SPSS and JASP Orientation,5,,,none,none,,,,,,,4,2,Is free indefinitely and produces APA-formatted tables,59,54,37.0,17.0,0,Q: JASP's main practical advantage for this course is that it:  ||  A) Offers more procedures than SPSS  |  B) Is free indefinitely and produces APA-formatted tables [X]  |  C) Is the tool used in most published literature  |  D) Cannot produce an incorrect result,1
70,SOFT-10,Software and output,authored,Written to the LD 810 lecture slides,5,SPSS and JASP Orientation,5,,,none,none,,,,,,,4,3,Complete at least one lab entirely in SPSS and at least one entirely in JASP,63,76,21.3,54.7,0,"Q: Under this course's tool policy, across the four labs you must:  ||  A) Use SPSS for all four  |  B) Use JASP for all four  |  C) Complete at least one lab entirely in SPSS and at least one entirely in JASP [X]  |  D) Use Excel for all four",1
71,SOFT-11,Software and output,authored,Written to the LD 810 lecture slides,5,SPSS and JASP Orientation,5,,,none,none,,,,,,,4,2,"The same values, because both compute the same statistic",87,56,39.3,16.7,0,"Q: Running descriptive statistics on the same variable in SPSS and in JASP should produce:  ||  A) Slightly different means, because the algorithms differ  |  B) The same values, because both compute the same statistic [X]  |  C) Results that cannot be meaningfully compared  |  D) Output in SPSS only",2
